Mario Is Missing! (USA).zip|Mario Is Missing|马里奥失踪记
Mega Man 3 (USA) (Beta).zip|Mega Man 3 (USA) (Beta)|洛克人3
Mega Man 3 (USA).zip|Mega Man 3 (USA)|洛克人3（美）
Mega Man 4 (Europe).zip|Mega Man 4 (Europe)|洛克人4（欧）
Mega Man 4 (USA).zip|Mega Man 4 (USA)|洛克人4（美）
Mega Man 4 (USA) (Rev A).zip|Mega Man 4 (USA) (Rev A)|洛克人4
Mega Man 5 (Europe).zip|Mega Man 5 (Europe)|洛克人5（欧）
Mega Man 5 (USA).zip|Mega Man 5 (USA)|洛克人5（美）
Mega Man (Europe).zip|Mega Man (Europe)|洛克人（欧）
Mega Man (USA).zip|Mega Man (USA)|洛克人（美）
Mei Guo Fu Hao - American Man (China) (Unl).zip|Mei Guo Fu Hao - American Man (China) (Unl)|美国富豪
Meiji Ishin (Japan).zip|Meiji Ishin (Japan)|明治维新
Meikyuu-jima (Japan).zip|Meikyuu-jima (Japan)|迷宫岛
Meikyuu Kumikyoku - Milon no Daibouken (Japan).zip|Meikyuu Kumikyoku - Milon no Daibouken (Japan)|迷宫组曲 迷路大冒険?
Meikyuu no Tatsujin - Daimeiro (Japan).zip|Meikyuu no Tatsujin - Daimeiro (Japan)|大迷路 迷宮の達人
Meimon! Takonishi Ouendan - Kouha 6 Nin Shuu (Japan).zip|Meimon! Takonishi Ouendan - Kouha 6 Nin Shuu (Japan)|名門!多古西応援団 硬派六人眾
Meitantei Holmes - Kiri no London Satsujin Jiken (Japan).zip|Meitantei Holmes - Kiri no London Satsujin Jiken (Japan)|名侦探福尔摩斯?伦敦杀人事件
Meitantei Holmes - M kara no Chousenjou (Japan).zip|Meitantei Holmes - M kara no Chousenjou (Japan)|名侦探柯南魔术师之挑战书
Melancholy brother.zip|Melancholy brother|忧郁兄弟
Memory competition.zip|Memory competition|记忆竞争
Menace Beach (USA) (Unl).zip|Menace Beach (USA) (Unl)|海滩威胁
Mendel Palace (USA).zip|Mendel Palace (USA)|孟德尔宫殿
Meng Huan - Xiang Shuai Chuan Qi Zhi Xue Hai Piao Ling (China) (Unl).zip|Meng Huan - Xiang Shuai Chuan Qi Zhi Xue Hai Piao Ling (China) (Unl)|梦幻 香帅传奇之血海飘零
Mermaids of Atlantis - The Riddle of the Magic Bubble (USA) (Unl).zip|Mermaids of Atlantis - The Riddle of the Magic Bubble (USA) (Unl)|亚特兰蒂斯的美人鱼
Metal Fighter (Asia) (Sachen) (Unl).zip|Metal Fighter (Asia) (Sachen) (Unl)|金属战斗
Metal Fighter Mu (Japan) (Unl).zip|Metal Fighter Mu (Japan) (Unl)|金属战斗者美克
Metal Force (Korea) (Unl).zip|Metal Force (Korea) (Unl)|钢铁力量
Metal Gear (Europe).zip|Metal Gear (Europe)|合金装备（欧）
Metal Gear (Japan).zip|Metal Gear (Japan)|合金装备（日）
Metal Gear.zip|Metal Gear|合金装备
Metal Gear (USA).zip|Metal Gear (USA)|合金装备（美）
Metal Max (Japan).zip|Metal Max (Japan)|重装机兵
Metal Mech - Man & Machine (USA).zip|Metal Mech - Man & Machine (USA)|金属装甲
Metal Slader Glory (Japan).zip|Metal Slader Glory (Japan)|金属之光
Metal storm.zip|Metal storm|金属风暴
Metal Storm (USA).zip|Metal Storm (USA)|金属风暴（美）
Metro-Cross (Japan).zip|Metro-Cross (Japan)|追赶跑跳蹦
Metroid (Europe).zip|Metroid (Europe)|银河战士（欧）
Metroid (USA).zip|Metroid (USA)|银河战士（美）
Mezase Pachi Pro - Pachio-kun (Japan) (Beta).zip|Mezase Pachi Pro - Pachio-kun (Japan) (Beta)|帕青哥君
Mezase Pachi Pro - Pachio-kun (Japan).zip|Mezase Pachi Pro - Pachio-kun (Japan)|帕青哥君（日）
Mezase Top Pro - Green ni Kakeru Yume (Japan).zip|Mezase Top Pro - Green ni Kakeru Yume (Japan)|职业高尔夫球?
Michael Andretti's World GP (USA).zip|Michael Andretti's World GP (USA)|迈克尔·安德烈蒂的世界全科医生
Mickey Mouse 7.zip|Mickey Mouse 7|米老鼠7
Mickey Mousecapade (USA).zip|Mickey Mousecapade (USA)|米奇
Mickey Mouse - Dream Balloon (USA) (Beta).zip|Mickey Mouse - Dream Balloon (USA) (Beta)|凯伦冒险记
Mickey Mouse - Fushigi no Kuni no Daibouken (Japan).zip|Mickey Mouse - Fushigi no Kuni no Daibouken (Japan)|米老鼠
Mickey Mouse III - Yume Fuusen (Japan).zip|Mickey Mouse III - Yume Fuusen (Japan)|米老鼠3
Mickey's Adventure in Numberland (USA).zip|Mickey's Adventure in Numberland (USA)|米老鼠数字岛大冒险
Mickey's Safari in Letterland (USA).zip|Mickey's Safari in Letterland (USA)|米老鼠字母岛大冒险
Midway Island 1942 (Invincible Edition).zip|Midway Island 1942 (Invincible Edition)|中途岛
MiG 29 - Soviet Fighter (USA) (Unl).zip|MiG 29 - Soviet Fighter (USA) (Unl)|米格29战斗机
Might and Magic - Book One - Secret of the Inner Sanctum (Japan).zip|Might and Magic - Book One - Secret of the Inner Sanctum (Japan)|魔法门:心灵圣地之谜（日）
Might & Magic - Secret of the Inner Sanctum (USA).zip|Might & Magic - Secret of the Inner Sanctum (USA)|魔法门:心灵圣地之谜（美）
Mighty Bomb Jack (Europe).zip|Mighty Bomb Jack (Europe)|炸弹人杰克（欧）
Mighty Bomb Jack (Japan).zip|Mighty Bomb Jack (Japan)|炸弹人杰克（日）
Mighty Bomb Jack (USA).zip|Mighty Bomb Jack (USA)|炸弹人杰克（美）
Mighty Final Fight (Europe).zip|Mighty Final Fight (Europe)|快打旋风（欧）
Mighty Final Fight (Japan).zip|Mighty Final Fight (Japan)|快打旋风（日）
Mighty Final Fight (USA).zip|Mighty Final Fight (USA)|快打旋风（美）
Mike Tyson Boxing!.zip|Mike Tyson Boxing!|麦克泰森拳击
Mike Tyson's Intergalactic Power Punch (USA) (Beta) [b].zip|Mike Tyson's Intergalactic Power Punch (USA) (Beta) [b]|麦克泰森拳击（美）
Mike Tyson's Punch-Out!! (Europe).zip|Mike Tyson's Punch-Out!! (Europe)|麦克泰森拳击（欧）
Mike Tyson's Punch-Out!! (Europe) (Rev A).zip|Mike Tyson's Punch-Out!! (Europe) (Rev A)|麦克泰森拳击（欧）(Rev A)
Mike Tyson's Punch-Out!! (Japan- USA).zip|Mike Tyson's Punch-Out!! (Japan- USA)|麦克泰森拳击（日）
Mike Tyson's Punch-Out!! (Japan- USA) (Rev A).zip|Mike Tyson's Punch-Out!! (Japan- USA) (Rev A)|麦克泰森拳击（日）(Rev A)
Millionaire (Asia) (PAL) (Unl).zip|Millionaire (Asia) (PAL) (Unl)|百万富翁
Millipede - Kyodai Konchuu no Gyakushuu (Japan).zip|Millipede - Kyodai Konchuu no Gyakushuu (Japan)|千足虫 昆虫的逆袭 (日版)?
Millipede.zip|Millipede|千足虫
Millipede (USA).zip|Millipede (USA)|千足虫（美）
Milon's Secret Castle (USA).zip|Milon's Secret Castle (USA)|迷宫组曲
Mind Blower Pak (Australia) (Unl).zip|Mind Blower Pak (Australia) (Unl)|狡猾的帕克
Mindseeker (Japan).zip|Mindseeker (Japan)|思想探索者
Mind warship.zip|Mind warship|心灵战舰
Mining [Chinese version].zip|Mining [Chinese version]|挖矿
Mini Putt (Japan).zip|Mini Putt (Japan)|迷你高尔夫球
Miracle of Life - Super Baby.zip|Miracle of Life - Super Baby|生命的奇迹
Miracle Ropit's - 2100 Nen no Daibouken (Japan).zip|Miracle Ropit's - 2100 Nen no Daibouken (Japan)|神奇罗比特冒险
Miracle Superman.zip|Miracle Superman|奇迹超人
Mirai Shinwa Jarvas (Japan).zip|Mirai Shinwa Jarvas (Japan)|未来神话
Mission Cobra (USA) (Unl).zip|Mission Cobra (USA) (Unl)|眼镜蛇任务
Mission Impossible (Europe).zip|Mission Impossible (Europe)|碟中谍（欧）
Mission Impossible (USA).zip|Mission Impossible (USA)|碟中谍（美）
Mississippi Satsujin Jiken (Japan).zip|Mississippi Satsujin Jiken (Japan)|南海道杀人事件（日）
Mississippi Satsujin Jiken (Japan) (Rev A).zip|Mississippi Satsujin Jiken (Japan) (Rev A)|南海道杀人事件
Moaijun.zip|Moaijun|摩艾君
Moai-kun (Japan).zip|Moai-kun (Japan)|摩艾君（日）
modern Family.zip|modern Family|摩登家庭
Moe Pro! '90 - Kandou Hen (Japan).zip|Moe Pro! '90 - Kandou Hen (Japan)|燃烧棒球'90-感动篇
Moe Pro! - Saikyou Hen (Japan).zip|Moe Pro! - Saikyou Hen (Japan)|燃烧棒球-最强篇
Moero!! Junior Basket - Two on Two (Japan).zip|Moero!! Junior Basket - Two on Two (Japan)|燃烧篮球
Moero!! Juudou Warriors (Japan).zip|Moero!! Juudou Warriors (Japan)|燃烧柔道战士
Moero!! Pro Tennis (Japan).zip|Moero!! Pro Tennis (Japan)|燃烧职业网球（日）
Moero!! Pro Yakyuu '88 - Ketteiban (Japan).zip|Moero!! Pro Yakyuu '88 - Ketteiban (Japan)|燃烧棒球!!'88?决定版
Moero!! Pro Yakyuu (Japan) (Beta).zip|Moero!! Pro Yakyuu (Japan) (Beta)|燃烧职业棒球
Moero!! Pro Yakyuu (Japan).zip|Moero!! Pro Yakyuu (Japan)|燃烧职业棒球（日）
Moero!! Pro Yakyuu (Japan) (Rev 1).zip|Moero!! Pro Yakyuu (Japan) (Rev 1)|?燃烧职业棒球(Rev 1)
Moero!! Pro Yakyuu (Japan) (Rev 2).zip|Moero!! Pro Yakyuu (Japan) (Rev 2)|?燃烧职业棒球(Rev 2)
Moero!! Pro Yakyuu (Japan) (Rev 3).zip|Moero!! Pro Yakyuu (Japan) (Rev 3)|?燃烧职业棒球(Rev 3)
Moero TwinBee - Cinnamon Hakase o Sukue! (Japan).zip|Moero TwinBee - Cinnamon Hakase o Sukue! (Japan)|兵蜂2
Moeru! Oniisan (Japan).zip|Moeru! Oniisan (Japan)|森林好小子
Mole's story.zip|Mole's story|鼹鼠的故事
Momotarou Densetsu Gaiden (Japan).zip|Momotarou Densetsu Gaiden (Japan)|桃太郎传说
Momotarou Densetsu (Japan).zip|Momotarou Densetsu (Japan)|桃太郎电铁（日）
Momotarou Dentetsu (Japan).zip|Momotarou Dentetsu (Japan)|桃太郎电铁
Money Game II- The - Kabutochou no Kiseki (Japan).zip|Money Game II- The - Kabutochou no Kiseki (Japan)|金钱游戏2
Money Game- The (Japan).zip|Money Game- The (Japan)|金钱游戏
Monkey monkey.zip|Monkey monkey|猴子猴子
Monopoly (France).zip|Monopoly (France)|地产大亨（法）
Monopoly (Germany).zip|Monopoly (Germany)|地产大亨（德）
Monopoly (Japan).zip|Monopoly (Japan)|地产大亨（日）
Monopoly (USA).zip|Monopoly (USA)|地产大亨（美）
Monster in My Pocket (Europe).zip|Monster in My Pocket (Europe)|魔鬼总动员（欧）
Monster in My Pocket (USA) (Beta).zip|Monster in My Pocket (USA) (Beta)|魔鬼总动员
Monster in My Pocket (USA).zip|Monster in My Pocket (USA)|魔鬼总动员（美）
Monster Maker - 7 Tsu no Hihou (Japan).zip|Monster Maker - 7 Tsu no Hihou (Japan)|怪兽制造者-七个秘宝
Monster party.zip|Monster party|怪物聚会
Monster Party (USA).zip|Monster Party (USA)|怪物聚会（美）
Monster Truck Rally (USA).zip|Monster Truck Rally (USA)|大脚卡车拉力赛
Monstruo de los Globos- El (Spain) (Gluk Video) (Unl).zip|Monstruo de los Globos- El (Spain) (Gluk Video) (Unl)|地球怪兽艾尔
Monstruo de los Globos- El (Spain) (Rev 1) (Gluk Video) (Unl).zip|Monstruo de los Globos- El (Spain) (Rev 1) (Gluk Video) (Unl)|地球怪兽艾尔
Moon Crystal (Japan).zip|Moon Crystal (Japan)|月光宝石
Moon Ranger (USA) (Unl).zip|Moon Ranger (USA) (Unl)|月球探索队
Morita Shougi (Japan).zip|Morita Shougi (Japan)|森田和太郎之将棋
Motocross Champion (Japan).zip|Motocross Champion (Japan)|摩托越野赛
Motocross.zip|Motocross|越野摩托锦标赛
MotorCity Patrol (USA).zip|MotorCity Patrol (USA)|热血车城
motorcycle.zip|motorcycle|摩托车
Motorcyclist.zip|Motorcyclist|摩托车手
Mottomo Abunai Deka (Japan).zip|Mottomo Abunai Deka (Japan)|危险刑警
Moulin Rouge Senki - Melville no Honoo (Japan).zip|Moulin Rouge Senki - Melville no Honoo (Japan)|红磨坊战记 (日版)
Mouryou Senki Madara (Japan).zip|Mouryou Senki Madara (Japan)|鬼魅战记
Mr. Crocodile.zip|Mr. Crocodile|鳄鱼先生
Mr. Gimmick (USA) (Proto).zip|Mr. Gimmick (USA) (Proto)|吉米克先生（美）
Mr. Penguin - Adventure Tour [Chinese version].zip|Mr. Penguin - Adventure Tour [Chinese version]|企鹅先生
Ms. Pac-Man (USA) (Unl).zip|Ms. Pac-Man (USA) (Unl)|小精灵小姐
Mugen Senshi Valis (Japan).zip|Mugen Senshi Valis (Japan)|梦幻战士
M.U.L.E. (USA).zip|M.U.L.E. (USA)|殖民计划
Muppet Adventure - Chaos at the Carnival (USA).zip|Muppet Adventure - Chaos at the Carnival (USA)|木偶历险记
Murder Club - Honkaku Mystery Adventure (Japan).zip|Murder Club - Honkaku Mystery Adventure (Japan)|欲望刑事
Musashi no Bouken (Japan).zip|Musashi no Bouken (Japan)|六三四之剑（日）
Musashi no Ken - Tadaima Shugyou Chuu (Japan).zip|Musashi no Ken - Tadaima Shugyou Chuu (Japan)|六三四之剑
M.U.S.C.L.E. - Tag Team Match (USA).zip|M.U.S.C.L.E. - Tag Team Match (USA)|筋肉人摔角大赛
Mutant Virus- The - Crisis in a Computer World (USA).zip|Mutant Virus- The - Crisis in a Computer World (USA)|突变病毒:电脑世界的危机?
My Life My Love - Boku no Yume - Watashi no Negai (Japan).zip|My Life My Love - Boku no Yume - Watashi no Negai (Japan)|我的生命我的爱
Mysterious exploration.zip|Mysterious exploration|神秘探索
Mysterious knot.zip|Mysterious knot|神秘的结
Mystery Quest (USA).zip|Mystery Quest (USA)|谜之传说巫师大冒险
Mythology of Light - Legend of Angel Island.zip|Mythology of Light - Legend of Angel Island|天使岛之光神话字幕
Nagagutsu o Haita Neko - Sekai Isshuu 80 Nichi Daibouken (Japan).zip|Nagagutsu o Haita Neko - Sekai Isshuu 80 Nichi Daibouken (Japan)|穿长靴的猫
Nakajima Satoru - F-1 Hero (Japan).zip|Nakajima Satoru - F-1 Hero (Japan)|中岛悟F1英雄
Nakajima Satoru Kanshuu - F-1 Hero 2 (Japan).zip|Nakajima Satoru Kanshuu - F-1 Hero 2 (Japan)|中岛悟F1英雄2
Nakayoshi to Issho (Japan).zip|Nakayoshi to Issho (Japan)|友情物语
Namco Classic II (Japan).zip|Namco Classic II (Japan)|南梦宫高尔夫二代
Namco Classic (Japan).zip|Namco Classic (Japan)|南梦宫高尔夫
Namco Prism Zone - Dream Master (Japan).zip|Namco Prism Zone - Dream Master (Japan)|梦境之王?
Namcot Mahjong III - Mahjong Tengoku (Japan).zip|Namcot Mahjong III - Mahjong Tengoku (Japan)|南梦宫麻将3:麻将天国
Nangoku Shirei!! - Spy vs Spy (Japan).zip|Nangoku Shirei!! - Spy vs Spy (Japan)|谍对谍-南国指令
Nantettatte!! Baseball (Japan).zip|Nantettatte!! Baseball (Japan)|南特塔特棒球（日）
NARC (USA).zip|NARC (USA)|城市猎人
Navy Blue (Japan).zip|Navy Blue (Japan)|GB版大海战
Nekketsu Kakutou Densetsu (Japan).zip|Nekketsu Kakutou Densetsu (Japan)|热血格斗传说
Nekketsu Koukou Dodgeball-bu (Japan).zip|Nekketsu Koukou Dodgeball-bu (Japan)|热血高校
Nekketsu Koukou Dodgeball-bu - Soccer Hen (Japan).zip|Nekketsu Koukou Dodgeball-bu - Soccer Hen (Japan)|热血高校-足球篇
Nekketsu! Street Basket - Ganbare Dunk Heroes (Japan).zip|Nekketsu! Street Basket - Ganbare Dunk Heroes (Japan)|热血街头篮球-灌篮英雄加油
NES Open Tournament Golf (Europe).zip|NES Open Tournament Golf (Europe)|公开巡回高尔夫（欧）
NES Open Tournament Golf (USA).zip|NES Open Tournament Golf (USA)|公开巡回高尔夫（美）
NES Play Action Football (USA).zip|NES Play Action Football (USA)|超级橄榄球
New Ghostbusters II (Europe).zip|New Ghostbusters II (Europe)|新捉鬼敢死队2（欧）
New Ghostbusters II (Japan).zip|New Ghostbusters II (Japan)|新捉鬼敢死队2（日）
New Ghostbusters II (USA) (Proto).zip|New Ghostbusters II (USA) (Proto)|新捉鬼敢死队2（美）
New human.zip|New human|新人类
Newsboy.zip|Newsboy|报童
New species born.zip|New species born|新物种诞生
New York Big Boxing Cat.zip|New York Big Boxing Cat|纽约拳击猫
New York Nyankies (Japan).zip|New York Nyankies (Japan)|纽约大拳猫（日）
New Zealand story.zip|New Zealand story|新西兰故事
New Zealand Story- The (Europe).zip|New Zealand Story- The (Europe)|新西兰故事（欧）
Nichibutsu Mahjong III - Mahjong G Men (Japan).zip|Nichibutsu Mahjong III - Mahjong G Men (Japan)|麻雀道场3
Nigel Mansell's World Championship Challenge (USA).zip|Nigel Mansell's World Championship Challenge (USA)|曼塞尔的世界冠军挑战
Nigel Mansell's World Championship Racing (Europe) (En-Fr-De-Es-It).zip|Nigel Mansell's World Championship Racing (Europe) (En-Fr-De-Es-It)|尼吉尔世界冠军赛车
Nightmare on Elm Street- A (USA).zip|Nightmare on Elm Street- A (USA)|猛鬼街
Nihonichi no Mei Kantoku (Japan).zip|Nihonichi no Mei Kantoku (Japan)|彩虹之路?
Niji no Silk Road (Japan).zip|Niji no Silk Road (Japan)|彩虹丝路
Ninja 2.zip|Ninja 2|忍者2
Ninja Cop Saizou (Japan).zip|Ninja Cop Saizou (Japan)|忍者刑警
Ninja Crusaders - Ryuuga (Japan).zip|Ninja Crusaders - Ryuuga (Japan)|忍者龙牙（日）
Ninja Crusaders (USA).zip|Ninja Crusaders (USA)|忍者龙牙（美）
Ninja Gaiden - Episode II - The Dark Sword of Chaos (USA) (Beta) (1990-01-18).zip|Ninja Gaiden - Episode II - The Dark Sword of Chaos (USA) (Beta) (1990-01-18)|忍者龙剑传2（美）
Ninja Gaiden III - The Ancient Ship of Doom (USA).zip|Ninja Gaiden III - The Ancient Ship of Doom (USA)|忍者龙剑传3
Ninja Gaiden II - The Dark Sword of Chaos (USA).zip|Ninja Gaiden II - The Dark Sword of Chaos (USA)|忍者龙剑传2
Ninja Gaiden (USA) (Beta).zip|Ninja Gaiden (USA) (Beta)|忍者龙剑传
Ninja Gaiden (USA).zip|Ninja Gaiden (USA)|忍者龙剑传（美）
Ninja Hattori-kun - Ninja wa Syugyou de Gozaru (Japan).zip|Ninja Hattori-kun - Ninja wa Syugyou de Gozaru (Japan)|忍者哈特君
Ninja Jajamaru - Ginga Daisakusen (Japan) (Beta).zip|Ninja Jajamaru - Ginga Daisakusen (Japan) (Beta)|忍者茶茶丸 银河大作战
Ninja Jajamaru - Ginga Daisakusen (Japan).zip|Ninja Jajamaru - Ginga Daisakusen (Japan)|忍者茶茶丸 银河大作战（日）
Ninja Jajamaru-kun (Japan).zip|Ninja Jajamaru-kun (Japan)|忍者茶茶丸
Ninja Jun A - Shura Chapter.zip|Ninja Jun A - Shura Chapter|忍者君舒拉
Ninja Kid (USA).zip|Ninja Kid (USA)|忍者小子
Ninja-kun - Ashura no Shou (Japan).zip|Ninja-kun - Ashura no Shou (Japan)|忍者 阿修罗之章
Ninja-kun - Majou no Bouken (Japan).zip|Ninja-kun - Majou no Bouken (Japan)|忍者君:魔城的冒险（日）
Ninja-kun - Majou no Bouken (Japan) (Rev 1).zip|Ninja-kun - Majou no Bouken (Japan) (Rev 1)|忍者君:魔城的冒险
Ninjara Hoi! (Japan).zip|Ninjara Hoi! (Japan)|忍者勇士
Ninja Ryuuken Den II - Ankoku no Jashin Ken (Japan).zip|Ninja Ryuuken Den II - Ankoku no Jashin Ken (Japan)|忍者龙剑传2
Ninja Ryuuken Den III - Yomi no Hakobune (Japan).zip|Ninja Ryuuken Den III - Yomi no Hakobune (Japan)|忍者龙剑传3
Ninja Ryuuken Den (Japan).zip|Ninja Ryuuken Den (Japan)|忍者龙剑传
Nishimura Kyoutarou Mystery - Blue Train Satsujin Jiken (Japan).zip|Nishimura Kyoutarou Mystery - Blue Train Satsujin Jiken (Japan)|西村京太郎-杀人事件
Nishimura Kyoutarou Mystery - Super Express Satsujin Jiken (Japan).zip|Nishimura Kyoutarou Mystery - Super Express Satsujin Jiken (Japan)|西村京太郎-杀人事件2
Noah's Ark.zip|Noah's Ark|诺亚方舟
Nobunaga no Yabou - Bushou Fuuun Roku (Japan).zip|Nobunaga no Yabou - Bushou Fuuun Roku (Japan)|信长的野望-武将风云录（日）
Nobunaga no Yabou - Sengoku Gunyuu Den (Japan).zip|Nobunaga no Yabou - Sengoku Gunyuu Den (Japan)|信长野望-战国群雄传
Nobunaga no Yabou - Sengoku Gunyuu Den (Japan) (Rev A).zip|Nobunaga no Yabou - Sengoku Gunyuu Den (Japan) (Rev A)|信长野望-战国群雄传
Nobunaga no Yabou - Zenkoku Ban (Japan).zip|Nobunaga no Yabou - Zenkoku Ban (Japan)|信长野望-全国版（日）
Nobunaga no Yabou - Zenkoku Ban (Japan) (Rev A).zip|Nobunaga no Yabou - Zenkoku Ban (Japan) (Rev A)|信长野望-全国版
Nobunaga's Ambition II (USA).zip|Nobunaga's Ambition II (USA)|信长之野望2
Nobunaga's Ambition (USA).zip|Nobunaga's Ambition (USA)|信长之野望?
North and South (USA).zip|North and South (USA)|南北战争（美）
North & South (Europe).zip|North & South (Europe)|南北战争（欧）
North & South - Wakuwaku Nanboku Sensou (Japan).zip|North & South - Wakuwaku Nanboku Sensou (Japan)|南北战争（日）
Nuts & Milk (Japan).zip|Nuts & Milk (Japan)|牛奶与花生
Obake no Q Tarou - Wanwan Panic (Japan).zip|Obake no Q Tarou - Wanwan Panic (Japan)|Q太郎
Obocchama-kun (Japan).zip|Obocchama-kun (Japan)|少爷历险记?
Off-road locomotive.zip|Off-road locomotive|越野机车
Off-road vehicle.zip|Off-road vehicle|欧霸越野车
Oishinbo - Kyuukyoku no Menu Sanbon Shoubu (Japan).zip|Oishinbo - Kyuukyoku no Menu Sanbon Shoubu (Japan)|美味冒险
Okkotoshi Puzzle - Tonjan! (Japan).zip|Okkotoshi Puzzle - Tonjan! (Japan)|冈石拼图
Olympic I.Q. (Asia) (PAL) (Unl).zip|Olympic I.Q. (Asia) (PAL) (Unl)|奥林匹克
Olympus no Tatakai (Japan).zip|Olympus no Tatakai (Japan)|奥林匹斯之战
One sound concert.zip|One sound concert|有声音乐会
Onyanko Town (Japan).zip|Onyanko Town (Japan)|猫咪小镇
Operation Secret Storm (USA) (Unl).zip|Operation Secret Storm (USA) (Unl)|秘密风暴
Operation Wolf (Japan).zip|Operation Wolf (Japan)|野狼行动（日）
Otaku no Seiza - An Adventure in the Otaku Galaxy (Japan).zip|Otaku no Seiza - An Adventure in the Otaku Galaxy (Japan)|远方的星座
Outlanders (Japan).zip|Outlanders (Japan)|异星人
Outrageous glory.zip|Outrageous glory|无耻的荣耀
Over Horizon (Europe).zip|Over Horizon (Europe)|超越地平线（欧）
Pachicom (Japan).zip|Pachicom (Japan)|弹珠机
Pachinko Daisakusen 2 (Japan).zip|Pachinko Daisakusen 2 (Japan)|柏青哥大作战2
